Designator,Mid X,Mid Y,Rotation,Layer
C1,62.85,-123.474999,180.0,top
C2,82.35,-125.274999,0.0,top
C3,68.400001,-127.374999,90.0,top
C4,74.75,-121.574999,180.0,top
D1,66.75,-112.274999,270.0,top
D2,72.090001,-112.199997,270.0,top
D3,77.55,-112.174999,270.0,top
J10,103.84,-54.709669,180.0,top
J11,33.969669,-100.115,270.0,top
J2,101.25,-113.674999,270.0,top
J3,101.265,-121.449999,270.0,top
J4,101.25,-129.274999,270.0,top
J5,127.2,-70.8,0.0,top
J6,127.2,-87.758334,0.0,top
J7,127.2,-98.5,0.0,top
J8,127.3,-109.241668,0.0,top
J9,55.19,-54.709669,180.0,top
Q1,101.525,-92.9,90.0,top
Q10,115.2,-120.437499,180.0,top
Q2,93.025002,-92.9,90.0,top
Q3,116.243333,-80.970882,135.0,top
Q4,110.232926,-86.981289,135.0,top
Q5,115.168292,-93.753323,135.0,top
Q6,109.157885,-99.76373,135.0,top
Q7,96.5625,-104.3,90.0,top
Q8,88.062501,-104.3,90.0,top
Q9,115.2,-111.9375,180.0,top
R1,66.75,-117.174999,90.0,top
R10,118.235367,-90.686248,135.0,top
R11,112.22496,-96.696655,135.0,top
R12,106.214551,-102.707064,135.0,top
R13,100.899999,-104.3,90.0,top
R14,92.4,-104.3,90.0,top
R15,83.899999,-104.3,90.0,top
R16,115.2,-107.600001,180.0,top
R17,115.2,-116.1,180.0,top
R18,115.2,-124.600002,180.0,top
R2,72.1,-117.174999,90.0,top
R3,77.55,-117.074999,90.0,top
R4,105.1,-92.9,270.0,top
R5,97.362501,-92.9,90.0,top
R6,88.862499,-92.9,90.0,top
R7,118.499481,-78.628947,135.0,top
R8,113.300001,-83.914214,135.0,top
R9,107.289594,-89.924621,135.0,top
U1,72.15,-123.774999,0.0,top
U2,74.800001,-127.074999,180.0,top
