Designator,Mid X,Mid Y,Rotation,Layer
C1,65.874998,-89.924287,180.0,top
C2,85.374998,-91.724287,0.0,top
C3,71.424999,-93.824287,90.0,top
C4,77.774998,-88.024287,180.0,top
D1,69.774998,-78.724287,270.0,top
D2,75.114999,-78.649285,270.0,top
D3,80.574998,-78.624287,270.0,top
J1,120.3,-69.2,0.0,top
J2,46.6,-105.5,180.0,top
J22,104.274998,-80.124287,270.0,top
J23,104.289998,-87.899287,270.0,top
J24,104.274998,-95.724287,270.0,top
J3,120.3,-80.0,0.0,top
J4,120.3,-57.2,0.0,top
J5,46.525,-94.14,180.0,top
J6,50.169669,-67.195,270.0,top
Q1,100.962501,-52.0,90.0,top
Q10,92.562501,-62.3,90.0,top
Q11,70.612498,-106.924287,270.0,top
Q12,79.112497,-106.924287,270.0,top
Q13,92.881246,-106.893036,270.0,top
Q14,101.381246,-106.893036,270.0,top
Q2,92.462501,-52.0,90.0,top
Q3,77.88373,-62.3,90.0,top
Q4,69.38373,-62.3,90.0,top
Q5,77.89375,-52.13125,90.0,top
Q6,69.393751,-52.13125,90.0,top
Q7,57.8375,-103.187501,0.0,top
Q8,57.8375,-94.687502,0.0,top
Q9,101.0625,-62.3,90.0,top
R1,69.774998,-83.624287,90.0,top
R10,82.231249,-52.13125,90.0,top
R11,73.73125,-52.13125,90.0,top
R12,65.231248,-52.13125,90.0,top
R13,57.8375,-106.8,0.0,top
R14,57.8375,-99.025001,0.0,top
R15,57.8375,-90.525,0.0,top
R16,105.399999,-62.3,90.0,top
R17,96.9,-62.3,90.0,top
R18,88.399998,-62.3,90.0,top
R19,66.274999,-106.924287,270.0,top
R2,75.124998,-83.624287,90.0,top
R20,74.774998,-106.924287,270.0,top
R21,83.274999,-106.924287,270.0,top
R22,88.543747,-106.893036,270.0,top
R23,97.043747,-106.893036,270.0,top
R24,105.543748,-106.893036,270.0,top
R3,80.574998,-83.524287,90.0,top
R4,105.3,-52.0,90.0,top
R5,96.8,-52.0,90.0,top
R6,88.3,-52.0,90.0,top
R7,82.221229,-62.3,90.0,top
R8,73.721229,-62.3,90.0,top
R9,65.221229,-62.3,90.0,top
U1,75.174998,-90.224287,0.0,top
U2,77.824999,-93.524287,180.0,top
